P: Electricity | Images: []
P: Draw a schematic diagram of a circuit consisting of a battery of three cells of 2 V each, a 5 Ω resistor, an 8 Ω resistor, and a 12 Ω resistor, and a plug key, all connected in series. | Images: []
P: Solution: | Images: []
P: A battery of three cells of 2 V each equals to battery of potential 6 V. The circuit diagram below shows three resistors of resistance 12 Ω, 8 Ω and 5 Ω connected in series along with a battery of potential 6 V. | Images: ['media/image3.jpeg']
P: Redraw the circuit of Question 1, putting in an ammeter to measure the current through the resistors and a voltmeter to measure the potential difference across the 12 Ω resistor. What would be the readings in the ammeter and the voltmeter? | Images: []
P: Solution: | Images: []
P: An ammeter should always be connected in series with resistors while the voltmeter should be connected in parallel to the resistor to measure the potential difference as shown in the figure below. | Images: []
P:  | Images: ['media/image4.jpeg']
P: Using Ohm’s Law, we can obtain the reading of the ammeter and the voltmeter. | Images: []
P: The total resistance of the circuit is 5 Ω + 8 Ω +12 Ω = 25 Ω. | Images: []
P: We know that the potential difference of the circuit is 6 V, hence the current flowing through the circuit or the resistors can be calculated as follows: | Images: []
P: I = V/R = 6/25 = 0.24A | Images: []
P: Let the potential difference across the 12 Ω resistor be V1. From the obtained current V1 can be calculated as follows: | Images: []
P: V1 = 0.24A × 12 Ω = 2.88 V | Images: []
P: Therefore, the ammeter reading will be 0.24 A and the voltmeter reading be 2.88 V. | Images: []
P: in-text-4 | Images: []
P: Judge the equivalent resistance when the following are connected in parallel – (a) 1 Ω and 106 Ω, (b) 1 Ω, | Images: []
P: 103 Ω, and 106 Ω. | Images: []
P: Solution: | Images: []
P: When 1 Ω and 106 are connected in parallel, the equivalent resistance is given by | Images: ['media/image5.png']
P: Therefore, the equivalent resistance is 1 Ω. | Images: []
P: When 1 Ω, 103 Ω, and 106 Ω are connected in parallel, the equivalent resistance is given by | Images: ['media/image6.png']
P: Therefore, the equivalent resistance is 0.999 Ω. | Images: []
P: An electric lamp of 100 Ω, a toaster of resistance 50 Ω, and a water filter of resistance 500 Ω are connected in parallel to a 220 V source. What is the resistance of an electric iron connected to the same source that takes as much current as all three appliances, and what is the current through it? | Images: []
P: Solution: | Images: []
P: The electric lamp, the toaster and the water filter connected in parallel to a 220 V source can be shown as using a circuit diagram as follows: | Images: []
P:  | Images: ['media/image7.jpeg']
P: The equivalent resistance of the resistors can be calculated as follows: | Images: []
P:  | Images: ['media/image8.png']
P: The resistance of the electric iron box is 31.25 Ω. | Images: []
P: What are the advantages of connecting electrical devices in parallel with the battery instead of connecting them in series? | Images: []
P: Solution: | Images: []
P: When the electrical devices are connected in parallel there is no division of voltage among the appliances. The potential difference across the devices is equal to supply voltage. Parallel connection of devices also reduces the effective resistance of the circuit. | Images: []
P: How can three resistors of resistances 2 Ω, 3 Ω, and 6 Ω be connected to give a total resistance of (a) 4 Ω, | Images: []
P: (b) 1 Ω? | Images: []
P: Solution: | Images: []
P: (a) The circuit diagram below shows the connection of three resistors | Images: []
P:  | Images: ['media/image9.jpeg']
P: From the circuit above, it is understood that 3 Ω and 6 Ω are connected in parallel. Hence, their equivalent resistance is given by | Images: ['media/image10.png']
P:  | Images: ['media/image11.png']
P: The equivalent resistor 2 Ω is in series with the 2 Ω resistor. Now the equivalent resistance can be calculated as follows: | Images: []
P: Req= 2 Ω +2 Ω = 4 Ω | Images: []
P: Hence, the total resistance of the circuit is 4 Ω. | Images: []
P: (b) The circuit diagram below, shows the connection of three resistors. | Images: ['media/image12.jpeg']
P: From the circuit, it is understood that all the resistors are connected in parallel. Therefore, their equivalent resistance can be calculated as follows: | Images: []
P:  | Images: ['media/image13.png']
P: The total resistance of the circuit is 1 Ω. | Images: []
P: What is (a) the highest, (b) the lowest total resistance that can be secured by combinations of four coils of | Images: []
P: resistance 4 Ω, 8 Ω, 12 Ω, 24 Ω? | Images: []
P: Solution: | Images: []
P: If the four resistors are connected in series, their total resistance will be the sum of their individual resistances and it will be the highest. The total equivalent resistance of the resistors connected in series will be 4 Ω + 8 Ω + 12 Ω + 24 Ω = 48 Ω. | Images: []
P: If the resistors are connected in parallel, then their equivalent resistances will be the lowest. Their equivalent resistance connected in parallel is | Images: []
P:  | Images: ['media/image14.png']
P: Hence, the lowest total resistance is 2 Ω. | Images: []
P: in-text-5 | Images: []
P: Why does the cord of an electric heater not glow while the heating element does? | Images: []
P: Solution: | Images: []
P: The heating element of an electric heater is made of an alloy which has a high resistance. When the current flows through the heating element, the heating element becomes too hot and glows red. The cord is usually made of copper or aluminum which has low resistance. Hence the cord doesn’t glow. | Images: []
P: Compute the heat generated while transferring 96000 coulomb of charge in one hour through a potential difference of 50 V. | Images: []
P: Solution: | Images: []
P: The heat generated can be computed by Joule’s law as follows: | Images: []
P: H = VIt | Images: []
P: where, | Images: []
P: V is the voltage, V = 50 V I is the current | Images: []
P: t is the time in seconds, 1 hour = 3600 seconds The amount of current can be calculated as follows: | Images: []
P:  | Images: ['media/image15.png']
P: 2. An electric iron of resistance 20 Ω takes a current of 5 A. Calculate the heat developed in 30 s. | Images: []
P: Solution: | Images: []
P: The amount of heat generated can be calculated using the Joule’s law of heating, which is given by the equation | Images: []
P: H = VIt | Images: []
P: Substituting the values in the above equation, we get, H = 100 × 5 × 30 = 1.5 × 104 J | Images: []
P: The amount of heat developed by the electric iron in 30 s is 1.5 × 104 J. | Images: []
P: in-text-6 | Images: []
P: What determines the rate at which energy is delivered by a current? | Images: []
P: Solution: | Images: []
P: Electric power is the rate of consumption of electrical energy by electric appliances. Hence, the rate at which energy is delivered by a current is the power of the appliance. | Images: []
P: An electric motor takes 5 A from a 220 V line. Determine the power of the motor and the energy consumed in 2 h. | Images: []
P: Solution: | Images: []
P: The power of the motor can be calculated by the equation, | Images: []
P: P = VI | Images: []
P: Substituting the values in the above equation, we get P = 220 V × 5 A = 1100 W | Images: []
P: The energy consumed by the motor can be calculated using the equation, E = P × T | Images: []
P: Substituting the values in the above equation, we get P = 1100 W × 7200 = 7.92 × 106 J | Images: []
P: The power of the motor is 1100 W and the energy consumed by the motor in 2 hours is 7.92 × 106 J. | Images: []
P: Exercise | Images: []
P: A piece of wire of resistance R is cut into five equal parts. These parts are then connected in parallel. If | Images: []
P: the equivalent resistance of this combination is R′, then the ratio R/R′ is . | Images: []
P: 1/25 | Images: []
P: 1/5 | Images: []
P: 5 | Images: []
P: 25 | Images: []
P: Solution: | Images: []
P: Answer: d) 25 | Images: []
P: Explanation: | Images: []
P: The resistance is cut into five equal parts, which means that the resistance of each part is R/5. | Images: []
P: We know that each part is connected to each other in parallel, hence the equivalent resistance can be calculated as follows: | Images: []
P:  | Images: ['media/image16.png']
P: The ratio of R/R′ is 25. | Images: []
P: Which of the following does not represent electrical power in a circuit? | Images: []
P: I2R | Images: []
P: IR2 | Images: []
P: VI | Images: []
P: V2/R | Images: []
P: Solution: | Images: []
P: Answer: b) IR2 | Images: []
P: Explanation: | Images: []
P: Electrical power is given by the expression P = VI.(1) | Images: []
P: According to Ohm’s law, | Images: []
P: V = IR | Images: []
P: Substituting the value of V in (1), we get | Images: []
P: P = (IR) × I P = I2R | Images: []
P: Similarly, from Ohm’s law, | Images: []
P: I = V/R | Images: []
P: Substituting the value of I in (1), we get | Images: []
P: P = V × V/R = V2/R | Images: []
P: From this, it is clear that the equation IR2 does not represent electrical power in a circuit. | Images: []
P: An electric bulb is rated 220 V and 100 W. When it is operated on 110 V, the power consumed will be | Images: []
P: . | Images: []
P: 100 W | Images: []
P: 75 W | Images: []
P: 50 W | Images: []
P: 25 W | Images: []
P: Solution: | Images: []
P: Answer: 25 W | Images: []
P: Explanation: | Images: []
P: The energy consumed by the appliance is given by the expression P = VI = V2/R | Images: []
P: The resistance of the light bulb can be calculated as follows: | Images: []
P: R = V2/P | Images: []
P: Substituting the values, we get R = (220)2/100 = 484 Ω | Images: []
P: Even if the supply voltage is reduced, the resistance remains the same. Hence, the power consumed can be calculated as follows: | Images: []
P: P = V2/R | Images: []
P: Substituting the value, we get P = (110)2 V/484 Ω = 25 W | Images: []
P: Therefore, the power consumed when the electric bulb operates at 110 V is 25 W. | Images: []
P: Two conducting wires of the same material and of equal lengths and equal diameters are first connected in series and then parallel in a circuit across the same potential difference. The ratio of heat produced in series and parallel combinations would be . | Images: []
P: 1:2 | Images: []
P: 2:1 | Images: []
P: 1:4 | Images: []
P: 4:1 | Images: []
P: Solution: | Images: []
P: Let Rs and Rp be the equivalent resistance of the wires when connected in series and parallel respectively. For the same potential difference V, the ratio of the heat produced in the circuit is given by | Images: ['media/image17.png']
P: Hence, the ratio of the heat produced is 1:4. | Images: []
P: How is a voltmeter connected in the circuit to measure the potential difference between two points? | Images: []
P: Solution: | Images: []
P: To measure the voltage between any two points, the voltmeter should be connected in parallel between the two points. | Images: []
P: A copper wire has diameter 0.5 mm and resistivity of 1.6 × 10–8 Ω m. What will be the length of this wire to make its resistance 10 Ω? How much does the resistance change if the diameter is doubled? | Images: []
P: Solution: | Images: []
P: The resistance of the copper wire of length in meters and area of cross-section m2 is given by the formula | Images: []
P:  | Images: ['media/image18.png']
P: The length of the wire is 122.72 m and the new resistance is 2.5 Ω. | Images: []
P: The values of current I flowing in a given resistor for the corresponding values of potential difference V across the resistor are given below – | Images: []
--- START TABLE ---
ROW: ['I (Ampere)', '0.5', '1.0', '2.0', '3.0', '4.0'] | Images: []
ROW: ['V (Volts)', '1.6', '3.4', '6.7', '10.2', '13.2'] | Images: []
--- END TABLE ---
P: Plot a graph between V and I and calculate the resistance of that resistor. | Images: []
P: Solution: | Images: []
P: The plot between voltage and current is known as IV characteristic. The current is plotted in the y-axis while the voltage is plotted in the x-axis. The different values of current for different values of voltage are given in the table. The I V characteristics for the given resistor is shown below. | Images: []
P:  | Images: ['media/image19.jpeg']
P: The slope of the line gives the value of resistance. The slope can be calculated as follows: | Images: []
P: Slope = 1/R = BC/AC = 2/6.8 To calculate R, | Images: []
P: R = 6.8/2 = 3.4 Ω | Images: []
P: The resistance of the resistor is 3.4 Ω. | Images: []
P: When a 12 V battery is connected across an unknown resistor, there is a current of 2.5 mA in the circuit. Find the value of the resistance of the resistor | Images: []
P: Solution: | Images: []
P: The value of the resistor can be calculated using Ohm’s Law as follows: | Images: ['media/image20.png']
P: A battery of 9 V is connected in series with resistors of 0.2 Ω, 0.3 Ω, 0.4 Ω, 0.5 Ω and 12 Ω, respectively. How much current would flow through the 12 Ω resistor? | Images: []
P: Solution: | Images: []
P: In series connection, there is no division of current. The current flowing across all the resistors is the same. | Images: []
P: To calculate the amount of current flowing across the resistors, we use Ohm’s law. | Images: []
P: But first, let us find out the equivalent resistance as follows: | Images: []
P: R = 0.2 Ω + 0.3 Ω + 0.4 Ω + 0.5 Ω + 12 Ω = 13.4 Ω | Images: []
P: Now, using Ohm’s law, | Images: ['media/image21.png']
P: The current flowing across the 12 Ω is 0.671 A. | Images: []
P: How many 176 Ω resistors (in parallel) are required to carry 5 A on a 220 V line? | Images: []
P: Solution: | Images: []
P: Let us consider the number of resistors required as ‘x.’ | Images: []
P: The equivalent resistance of the parallel combination of resistor R is given by | Images: ['media/image22.png']
P: The number of resistors required is 4. | Images: []
P: Show how you would connect three resistors, each of resistance 6 Ω, so that the combination has a | Images: []
P: resistance of (i) 9 Ω, (ii) 4 Ω. | Images: []
P: Solution: | Images: []
P: If we connect all the three resistors in series, their equivalent resistor would 6 Ω + 6 Ω + 6 Ω =18 Ω, which is not the desired value. Similarly, if we connect all the three resistors in parallel, their equivalent resistor would be | Images: ['media/image23.png']
P: which is again not the desired value. | Images: []
P: We can obtain the desired value by connecting any two of the resistors in either series or parallel. | Images: []
P: Case (i) | Images: []
P:  | Images: ['media/image24.jpeg']
P: If two resistors are connected in parallel, then their equivalent resistance is | Images: ['media/image25.png']
P: The third resistor is in series, hence the equivalent resistance is calculated as follows: | Images: []
P: R = 6 Ω + 3 Ω = 9 Ω | Images: []
P: Case (ii) | Images: []
P:  | Images: ['media/image26.jpeg']
P: When two resistors are connected in series, their equivalent resistance is given by | Images: []
P: R = 6 Ω + 6 Ω = 12 Ω | Images: []
P: The third resistor is connected in parallel with 12 Ω. Hence the equivalent resistance is calculated as follows: | Images: ['media/image27.png']
P: Several electric bulbs designed to be used on a 220 V electric supply line, are rated 10 W. How many lamps can be connected in parallel with each other across the two wires of 220 V line if the maximum allowable current is 5 A? | Images: []
P: Solution: | Images: []
P: The resistance of the bulb can be calculated using the expression P1 = V2/R1 | Images: []
P: R1 = V2/P1 | Images: []
P: Substituting the values, we get | Images: []
P:  | Images: ['media/image28.png']
P: Hence, 110 lamps can be connected in parallel. | Images: []
P: A hot plate of an electric oven connected to | Images: []
P: a 220 V line has two resistance coils A and B, each of 24 Ω resistance, which may be used separately, in | Images: []
P: series, or in parallel. What are the currents in the three cases? | Images: []
P: Solution: | Images: []
P: Case (i) When coils are used separately | Images: []
P: Using Ohm’s law, we can find the current flowing through each coil as follows: | Images: ['media/image29.png']
P: 9.166 A of current flows through each resistor when they are used separately. | Images: []
P: Case (ii) When coils connected in series | Images: []
P: The total resistance in the series circuit is 24 Ω + 24 Ω = 48 Ω | Images: []
P: The current flowing through the series circuit is calculated as follows: | Images: ['media/image30.png']
P: Therefore, a current of 4.58 A flows through the series circuit. | Images: []
P: Case (iii) When coils connected in parallel | Images: []
P: When the coils are connected in parallel, the equivalent resistance is calculated as follows: | Images: ['media/image31.png']
P: The current in the parallel circuit is 18.33 A. | Images: []
P: Compare the power used in the 2 Ω resistor in each of the following circuits: (i) a 6 V battery in series with 1 Ω and 2 Ω resistors, and (ii) a 4 V battery in parallel with 12 Ω and 2 Ω resistors. | Images: []
P: Solution: | Images: []
P: The potential difference is 6 V and the resistors 1 Ω and 2 Ω are connected in series, hence their equivalent resistance is given by 1 Ω + 2 Ω = 3 Ω. The current in the circuit can be calculated using the Ohm’s law as follows: | Images: ['media/image32.jpeg']
P: Therefore, the power consumed by the 2 Ω is 8 W. | Images: []
P: When 12 Ω and 2 Ω resistors are connected in parallel, the voltage across the resistors remains the same. Knowing that the voltage across 2 Ω resistor is 4 V, we can calculate the power consumed by the resistor as follows: | Images: ['media/image33.png']
P: The power consumed by the 2 Ω resistor is 8 W. | Images: []
P: Two lamps, one rated 100 W at 220 V, and the other 60 W at 220 V, are connected in parallel to electric mains supply. What current is drawn from the line if the supply voltage is 220 V? | Images: []
P: Solution: | Images: []
P: Since both the bulbs are connected in parallel, the voltage across each of them will be the same. Current drawn by the bulb of rating 100 W can be calculated as follows: | Images: []
P: P = V × I I = P/V | Images: []
P: Substituting the values in the equation, we get I = 100 W/220 V = 100/220 A | Images: []
P: Similarly, the current drawn by the bulb of rating 60 W can be calculated as follows: I = 60 W/220 V = 60/220 A | Images: ['media/image34.png']
P: Therefore, the current drawn from the line is | Images: []
P: Which uses more energy, a 250 W TV set in 1 hr, or a 1200 W toaster in 10 minutes? | Images: []
P: Solution: | Images: []
P: The energy consumed by electrical appliances is given by the equation | Images: []
P: H = Pt, where P is the power of the appliance and t is the time | Images: []
P: Using this formula, the energy consumed by a TV of power ration 250 W, can be calculated as follows: H = 250 W × 3600 seconds = 9 × 105 J | Images: []
P: Similarly, the energy consumed by a toaster of power rating 1200 W is H = 1200 W × 600 s = 7.2 × 105 J | Images: []
P: From the calculations, it can be said that the energy consumed by the TV is greater than the toaster. | Images: []
P: An electric heater of resistance 8 Ω draws 15 A from the service mains 2 hours. Calculate the rate at | Images: []
P: which heat is developed in the heater. | Images: []
P: Solution: | Images: []
P: The rate at which the heat develops in the heater can be calculated using the following formula P = I2 R | Images: []
P: Substituting the values in the equation, we get P = (15A) 2 × 8 Ω = 1800 J/s | Images: []
P: The electric heater produces heat at the rate of 1800 J/s | Images: []
P: Explain the following. | Images: []
P: Why is the tungsten used almost exclusively for filament of electric lamps? | Images: []
P: Why are the conductors of electric heating devices, such as bread-toasters and electric irons, made of an alloy rather than a pure metal? | Images: []
P: Why is the series arrangement not used for domestic circuits? | Images: []
P: How does the resistance of a wire vary with its area of cross-section? | Images: []
P: Why copper and aluminium wires are usually employed for electricity transmission? | Images: []
P: Solution: | Images: []
P: The resistivity and melting point of tungsten is very high. Due to this property, it doesn’t burn readily when heated. Electric lamps operate at high temperature. Hence, tungsten is a choice of metal for the filament of electric lamps. | Images: []
P: The conductors of electric heating devices are alloys because of their high resistivity. Due to its high resistivity it produces large amount of heat. | Images: []
P: The voltage is divided in series circuit as result each component in the circuit receives a small voltage because of which the amount of current decreases and the device gets hot and does not work properly. This is the reason why series circuits are not used in domestic circuits. | Images: []
P: Resistance is inversely proportional to the area of cross section. When the area of cross section increases the resistance decreases and vice versa. | Images: []
P: Copper and aluminium are good conductors of electricity and have low resistivity because of which they are usually employed for electricity transmission. | Images: []
